procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 217802200  37732 25773292    0    0     0    10 1129  180  8  0 92  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 217774680  37732 25773284    0    0     0     6 1169  259  6  2 92  0  0  0
 1  0      0 217800928  37732 25773288    0    0     0     0 1113  159  8  0 92  0  0  0
 1  0      0 217770764  37740 25773280    0    0     0    10 1187  295  6  2 92  0  0  0
 1  0      0 217797264  37740 25773288    0    0     0     8 1142  177  8  0 92  0  0  0
 1  0      0 217799744  37740 25773304    0    0     0     0 1195  311  6  2 92  0  0  0
 1  0      0 217804676  37748 25773304    0    0     0    20 2036  679  9  0 90  0  0  0
 1  0      0 217801056  37748 25773324    0    0     0     6 1187  293  6  2 92  0  0  0
 1  0      0 217805732  37748 25773324    0    0     0     0 1124  170  8  0 92  0  0  0
 1  0      0 217797112  37756 25773308    0    0     0    36 1184  294  6  2 92  0  0  0
 1  0      0 217804460  37756 25773312    0    0     0     8 1135  178  8  0 92  0  0  0
 3  0      0 217796092  37764 25773304    0    0     0    30 1176  269  6  2 92  0  0  0
 1  0      0 218367204  37764 25773312    0    0     0     0 1143  220  8  0 92  0  0  0
 1  0      0 217795072  37764 25773328    0    0     0     6 1158  225  6  2 92  0  0  0
 1  0      0 218362452  37772 25773320    0    0     0    24 1199  262  8  1 92  0  0  0
 1  0      0 217790348  37772 25773312    0    0     0     0 1147  198  7  2 92  0  0  0
 1  0      0 218369620  37772 25773312    0    0     0     6 1159  242  7  1 92  0  0  0
 1  0      0 217796928  37780 25773344    0    0     0    18 1163  215  7  1 92  0  0  0
 1  0      0 218214648  37780 25773312    0    0     0     0 1149  237  7  1 92  0  0  0
 1  0      0 217802856  37780 25773312    0    0     0     6 1154  201  8  1 92  0  0  0
 1  0      0 217953564  37788 25773312    0    0     0    10 1147  237  7  2 92  0  0  0
 1  0      0 217799820  37788 25773312    0    0     0     0 1143  200  8  0 92  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 217873056  37788 25773328    0    0     0     6 1161  239  6  2 92  0  0  0
 1  0      0 217795416  37796 25773328    0    0     0    10 1148  212  8  0 92  0  0  0
 1  0      0 217767896  37796 25773328    0    0     0     0 1147  248  6  2 92  0  0  0
 1  0      0 217794396  37796 25773328    0    0     0     6 1146  195  8  0 92  0  0  0
 2  0      0 217766876  37804 25773312    0    0     0    10 1159  258  6  2 92  0  0  0
 1  0      0 217793152  37804 25773312    0    0     0     0 1161  199  8  0 92  0  0  0
 1  0      0 217776632  37804 25773296    0    0     0     6 1806  667  6  2 91  0  0  0
 1  0      0 217803132  37812 25773296    0    0     0    16 1142  204  8  0 92  0  0  0
 1  0      0 217779124  37812 25773328    0    0     0     4 1296  313  6  2 92  0  0  0
 1  0      0 217797588  37812 25773328    0    0     0     6 1137  185  8  0 92  0  0  0
 1  0      0 217795592  37820 25773328    0    0     0    18 1178  278  6  2 92  0  0  0
 1  0      0 217798744  37820 25773328    0    0     0     4 1136  184  8  0 92  0  0  0
 1  0      0 217794572  37820 25773312    0    0     0     6 1167  255  6  2 92  0  0  0
 1  0      0 217797724  37828 25773312    0    0     0    14 1140  188  8  0 92  0  0  0
 1  0      0 217789236  37828 25773296    0    0     0     0 1160  255  6  2 92  0  0  0
 1  0      0 218292460  37828 25773296    0    0     0     6 1149  221  8  0 92  0  0  0
 1  0      0 217780392  37836 25773312    0    0     0    10 1157  229  6  2 92  0  0  0
 1  0      0 218351904  37836 25773312    0    0     0     0 1148  241  8  1 92  0  0  0
 1  0      0 217779004  37836 25773296    0    0     0     6 1137  190  7  2 92  0  0  0
 1  0      0 218355948  37844 25773288    0    0     0    10 1163  252  7  1 92  0  0  0
 1  0      0 217791288  37844 25773296    0    0     0     0 1125  183  7  1 92  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
